Image,Words
Facebook_Food_107.jpeg,"['แน', 'แพะ', 'เห', 'ลพ', 'ทวน', 'ราคา', '่อ', 'ทธิ', 'แน', 'แห', 'โอ', 'ลลด', 'พิเศษ', 'ตม', 'โท', 'โฮ', 'ลปก', 'ติ', 'ควุรรภ', 'รวก', 'คอ', 'หมู', 'ย่าง', 'ข้าวเหนียว', 'เพ', 'ยง', 'เปก', 'ติ', 'เห', 'ทา', 'ทท', 'งลร', 'ทา', 'คห', 'อะ', 'เห', 'รธ', 'แห', 'พะ', 'โอ', 'แกว', 'ปกติ', 'คธน', 'ไย', 'มาม่า', 'เข็น', 'ตา', 'โฟตัมยําน้ขิน', 'กพ', 'เอน', 'ลด', 'พิเศษ', 'ปกติ', 'คด', 'ดี', 'กล', 'แนเ', '๒๐', 'ลด', 'เศษ', 'ปกติ', 'ร้าน', 'สาขา', 'เข้าร่วม', 'โปรโมชัน', 'สิทธิ์', 'จํานวนชํากัต', 'วัส', '่วนสต', 'ปื้อ', 'ตําลต', 'นื้อ', 'หน้า', 'ได้ส่วน', 'ลต', 'สุต', 'เชี่น', 'ไข', 'คา', 'ส่จ', 'เนื่อ', 'อาหาร', 'แนน', '๐๐๓', 'ไน', 'พื้นที่', 'กรุงเทพ', 'ปริบ', 'ณฑล', 'จิ', 'หวิด', 'เชียง', 'ใหป่', 'ขอน', 'แฉ', 'ทะ', 'แค้', 'ร่ว', 'บรา', 'ยศารสัวพ', 'รี', 'คุ้น', 'ทาร', 'สุ', 'กิ', 'โด', 'แนตร', 'ทุบ', 'ภา', 'พินธ์ธฐ', 'มีนา', 'คน', 'ไข', 'ตา', 'แที่ซคําหนด', 'ตาน', 'ข้อ', 'คําหนด', 'ปี', 'คา', 'รน', 'พเล่ะทน', 'ซ่อง', 'ทา', 'จเร็น', 'ไซต์', 'สะ', 'โท', 'ทาส', 'โทร', 'เทค', 'ไท', 'าอต่', 'เซน', 'สุ่', 'เงื่อนไข', 'เป็นไป', 'บริษัทฯ']"
Facebook_Food_108.jpeg,"['แน', 'แพะ', 'เห', 'ลพ', 'ทวน', 'ราคา', 'ข้าว', 'กระ', 'เพรา', 'เนื้อ', 'บด', 'มค', 'ออสเตรเลีย', 'ไข่ดาว', 'ปก', 'ติ', 'คร', 'คุ้ม', 'คธ', 'ข่าว', 'ราด', 'คแภง', 'กลอง', 'ปกติ', 'ก๋วยเตี๋ยว', 'ไก่', 'กล่อง', 'กุ', 'พล', 'ดพ', 'เศษ', 'ปกติ', 'คธ', 'ฟรี', '๑๐๐', 'แค', 'รป', 'หมู', 'หยือง', 'แฮม', 'พริก', 'เผา', 'กพ', 'ฟรี', 'ชา', 'ข้าว', 'หอม', 'บก', 'กพ', 'ชา', 'ฟอง', 'มะลิ', 'ร้าน', 'สู', 'ขา', 'เข้าร่วม', 'โปร', 'โม', 'ชิน', 'สิทธิ์', 'จํานวนจํากัต', 'สต', 'เนื่อ', 'ปื้อ', 'ตั๋าลต', 'นื้อ', 'หน้า', 'ได้ส่วน', 'ลต', 'สุ', 'ไข', 'คําส่จ', 'สัง', 'ฮา', 'หาร', 'แบน', 'ไอ', 'ระ', 'พื้นที่', 'แล', 'ปริบ', 'จิ', 'จหร', 'วัด', 'เขียง', 'ใหป', 'ขอบ', 'แก่น', 'เล', 'ทะ', 'ท้า', 'ร่วน', 'ศารสงพ', 'ซี', 'ล้า', 'คุ้น', 'ทา', 'โล', 'แมตร', 'ทุ', 'นภา', 'พิบธ์', 'บา', 'คน', 'ป่น', 'ไข', 'ตา', 'แที่ซคําหนด', 'ตาน', 'ข้อ', 'คําหนด', 'ปี', 'คา', 'รน', 'พเล่ะทน', 'ซ่อง', 'ทา', 'จเร็น', 'ไซต์', 'สะ', 'โท', 'ทาส', 'โทร', 'เทค', 'ไท', 'าอต่', 'เซน', 'สุ่', 'เงื่อนไข', 'เป็นไป', 'บริษัทฯ']"
Facebook_Food_109.jpeg,"['ไซ', 'ซท', 'กวน', 'ราคา', 'ชุด', 'ข้าว', 'ไก่', 'เผ็ด', 'รจ', 'กุ', 'เชสเตอร์', 'ชุด', 'แถม', 'ฟรี', 'ข้าว', 'ไก่', 'กรอบ', 'ซอส', 'น้้า', 'ปลา', 'ชุด', 'ปกติ', 'มเคช็อกโภ', 'แล', 'นนหรยอบัทก', 'ชี้', 'ซี', 'โด', 'นิ', 'ปกติ', 'คทออ', 'รหอท', 'อทอ', 'มค', 'กล่อง', 'ลด', 'ปกติ', 'คน', '๑๐๑', 'ลท', 'อิล', 'กร', 'ลด', 'พิเศษ', 'ปกติ', 'มพธา', 'ออ', 'แร', 'ลด', 'พิเศษ', 'ปกติ', 'รศศ', 'ร้าน', 'สาขา', 'เข้าร่วม', 'โปรโมชัน', 'สิทธิ์', 'นีจํานวนจํากัต', 'สต', 'เนื่อ', 'สั่ง', 'มื้อ', 'ตําลต', 'ซื้อหน้า', 'ได้ส่วน', 'ลต', 'อบ', 'โข', 'คา', 'เนื่อสื่ฮา', 'หาร', 'แบน', 'พื้นที่', 'เฉพาะที่', 'ครุ', 'บา', 'ปริบ', 'ณฑล', 'จิ', 'จหรืด', 'เชียง', 'ใหป', 'ขอบ', 'เอ', 'ทะ', 'ร้า', 'ค้า', 'ร่อน', 'ศาร', 'สัพ', 'รี', 'คุ้น', 'ระยะทาง', 'สุ', 'ศิ', 'โลน', 'มต', 'ทุ', 'นภา', 'พิบด์', 'มีนา', 'คน', 'ไข', 'เป็นไป', 'ตแที่ซแผแฟคําหนด', 'ตาน', 'ข้อ', 'คําหนด', 'ปี', 'คา', 'รแยนเล่ะทน', 'ซ่อง', 'ทา', 'จเว็น', 'ไซต์', 'ทาส', 'ไทร', 'เทค', 'ไท', 'าอต', 'เซน', 'สุ่', 'เงื่อนไข', 'เป็นไป', 'บริษัทฯ', 'คํา']"
Facebook_Food_11.jpeg,"['รร', 'เบิล', 'ระ', 'มิต', 'เตือ', 'แร่', 'ทอิอรใหรว', 'ไช', 'รัหร', 'รจล']"
Facebook_Food_110.jpeg,"['แพะ', 'เห', 'ลพ', 'เศ', 'ทวน', 'รา', 'คาส', 'เติก', 'ไก่ย่าง', 'ซี่', 'บาร์บีคิว', 'เค', 'ซื้อ', 'แถม', 'ปกติ', 'คกอป', 'คอร์น', 'เค', 'ซิป', 'ล็อค', 'ออนซ์', 'ถุง', 'ปกติ', 'งนทว', 'ภุยข', 'ชาย', 'พราย', 'ปกติ', 'คก', '๐๑๕', 'แซ', 'ชู', 'ชิ', 'แซลมอน', 'คํา', 'เก', '๒๓', 'เค๊ก', 'อร่อย', 'รส', 'ปอนด์', 'ลด', 'พิเศษ', 'ปกติ', 'เฉ', 'เพ', 'ทะ', 'ร้าน', 'สาขา', 'เข้าร่วม', 'โปร', 'โม', 'ชิน', 'สิทธิ์', 'จํานวนจํา', 'ทัต', 'สต', 'เนื่อ', 'ปื้อ', 'ตําลต', 'นื้อ', 'หน้า', 'ส่วนลด', 'สุ', 'ต่บ', 'โย', 'ค่า', 'เนื่อ', 'สื่อ', 'ฮา', 'หาร', 'แบน', '๐๐', 'ระ', 'พื้นที่', 'รุ', 'บา', 'ปริบ', 'ณฑล', 'จิ', 'จหรืด', 'เชียง', 'ใหป', 'ขอบ', 'แอ', 'ทะ', 'ด้า', 'ค้า', 'ร่วน', 'ศารส่วพ', 'รี', 'คุ้น', 'ระยะทาง', 'สุ', 'คิ', 'โลน', 'มต', 'ทุ', 'นภา', 'พิบด์', 'มีนา', 'คน', '่น', 'ไข', 'ตา', 'ผะ', 'แฟคําหนด', 'ตาน', 'ข้อ', 'คําหนตด', 'ปี', 'คา', 'รน', 'แยนพ', 'ล่ะ', 'ทบ', 'ซ่อง', 'เว็น', 'ไซต์', 'ทวสมทต', 'ทาส', 'ทท', 'เทค', 'ไท', 'ทอ', 'ซน', 'ส่', 'ยุ']"
Facebook_Food_111.jpeg,"['ราคา', 'ไมีคธ', 'เก', 'ัธีล', 'เพ', 'ลน', 'ลท', 'ปกติ', 'ไทย', 'แก้', 'เค', 'เวั', 'ชา', 'เท', 'แกว', 'ปกติ', 'เห', 'ร่อย', 'คู่', 'ซี', 'ปกติ', 'คามี', 'งือรไลนเลท', 'เพ', 'ยง', 'ปกติ', 'มค', 'แถม', 'คธไภ่', 'ทอด', 'บอน', 'ชอน', 'ชื้น', 'ปกติ', 'แถม', 'ไก่ทอด', 'บอน', 'ชอน', 'ชื้น', 'ปกติ', 'ร้าน', 'สู', 'ขา', 'เข้าร่วม', 'โปร', 'โม', 'ชิน', 'สิทธิ์', 'จํานวนจํากัต', 'สต', 'มื้อ', 'ตําลต', 'นื้อ', 'หน้า', 'ได้ส่วน', 'ลต', 'สุ', 'ด่อน', 'ไข', 'คําส่จ', 'เนื่อ', 'สัง', 'ฮา', 'หาร', 'ไอ', 'อะ', 'ไน', 'พื้นที่', 'แล', 'กรุง', 'บา', 'ปริบ', 'จิ', 'หวัด', 'ใหป', 'ขอบ', 'แก่น', 'เล', 'ทะ', 'ท้า', 'ร่วน', 'ศารสพ', 'ซี', 'ล้า', 'คุ้น', 'ทา', 'โล', 'แมตร', 'ทุ', 'นภา', 'พิบธ์', 'บา', 'คน', 'ป่น', 'ไข', 'เป็นไป', 'ตแที่ซแผแฟคําหนด', 'ตาน', 'ข้อ', 'คําหนด', 'ปี', 'คา', 'รแยนเล่ะทน', 'ซ่อง', 'ทา', 'จเว็น', 'ไซต์', 'ทาส', 'ไทร', 'เทค', 'ไท', 'าอต', 'เซน', 'สุ่', 'เงื่อนไข', 'เป็นไป', 'บริษัทฯ', 'คํา']"
Facebook_Food_113.jpeg,"['พะ', 'เห', 'ลผ', 'เปด', 'ศึก', 'ใช', 'ว้า', 'โปร', 'ลด', 'แรง', 'เธมต', 'แพ', 'เห', 'ลคด', 'เอย', 'ใส่', 'เคิล']"
Facebook_Food_114.jpeg,"['หะ', 'เฟ', 'ข้อ', 'พทพหบแวเตห์บ', 'มะ', 'แพ็น', '้พบ', 'ส่วนลด', 'พว', 'ยพ', 'เม', 'เร', 'อง', 'ทา', 'อก', 'สก', 'หลทย', 'กง', 'งปรส', 'ซม', 'โล', 'สอ', 'ตพ', 'รอง', 'เอก', 'เธลปรรว', 'รส', 'สู', 'ไซ', 'ปี', 'วี', 'ไพ', '๓๕', '๕๐', 'ระยะเวลา', 'แจก', 'ทท', 'ฟิอทอธทอ', 'เม', 'ยหล', 'ระ', 'เวลา', 'ปร', 'ยู', 'ออ', 'ท่อ', 'สร', 'อบ', 'คแ', 'แจ', 'พิอนท', 'คธ', 'รอบ', 'เมะ', 'เก', 'ซี', 'ฟิฉนทค', '๒๐', 'ท่อปส์', 'เดลี', 'สาขา', 'ช่ลไบ']"
Facebook_Food_115.jpeg,"['ล์', 'เย็นตาโฟ', 'บะเต็ว', 'ชาม', 'ไส่', 'โค้ด', 'เจ', 'ญิ', 'เพีย', 'งสว', 'ซู', 'ศดอธอ', 'อย']"
Facebook_Food_116.jpeg,"['อย', 'ลิ', 'ชชาร์ด', 'ไซส์', 'ค่ววท', 'แถม', 'ใส่', 'โค้ด', '๑๑๒', 'ศิ', 'เพ', 'ยร', 'โซ', 'โซ', 'โซ', 'กด', '๐๐']"
